id;type;url;ip;date;
"261";"Phishing";"http://megansbakeshop.com/AMEN/";"173.254.58.198";"22-09-2017";
"262";"Phishing";"http://megansbakeshop.com/Verification/";"173.254.58.198";"22-09-2017";
"263";"Phishing";"http://megansbakeshop.com/yah/3b8437eef1819090e9f4086d4bee70e3/";"173.254.58.198";"22-09-2017";
"264";"Pony";"http://gamezones.info/collins/admin.php";"209.182.213.90";"22-09-2017";
"265";"Phishing";"http://r10gmoffice.com";"51.254.15.108";"22-09-2017";
"266";"Atmos";"http://systemsupport.ddns.net/update/cp.php?m=login";"86.104.14.7";"23-09-2017";
"267";"DiamondFox";"http://systemsupport.ddns.net/system/";"86.104.14.7";"23-09-2017";
"268";"Proxies Checker";"http://systemsupport.ddns.net/web/";"86.104.14.7";"23-09-2017";
"269";"LiteHTTP";"http://auxwin.website/lite/login/";"198.54.114.232";"23-09-2017";
"270";"Pony";"http://bigmax.usa.cc/ml/vrs/maxy/pny/panel/admin.php";"198.23.241.141";"24-09-2017";
"271";"Andromeda";"http://starmanspo.com/adm.php";"5.249.149.5";"24-09-2017";
"272";"Pony";"http://ctssint.com/pony22/admin.php";"192.185.128.167";"24-09-2017";
"273";"Keybase";"http://ctssint.com/keybase/";"192.185.128.167";"24-09-2017";
"274";"AthenaHTTP";"http://freshbylgs.com/panel/login/";"198.54.114.177";"24-09-2017";
"275";"AgentTesla";"http://www.scarfacerythm.com/panel/login.php";"164.132.190.162";"24-09-2017";
"276";"LokiBot";"http://erobinhood.com/Panel/five/fre.php";"46.21.147.252";"24-09-2017";
"277";"LokiBot";"http://globalmekrim.com/panel/fre.php";"111.90.149.107";"24-09-2017";
"278";"LokiBot";"http://globalmekrim.com/ortega/panel/fre.php";"111.90.149.107";"24-09-2017";
"279";"LokiBot";"http://globalmekrim.com/ok/panel/fre.php";"111.90.149.107";"24-09-2017";
"280";"LokiBot";"http://globalmekrim.com/deboy101/panel/fre.php";"111.90.149.107";"24-09-2017";
"281";"DiamondFox";"http://gta-raylight.com/Panel/";"185.38.148.196";"24-09-2017";
"282";"TinyNuke";"http://ghost888abc.com/1/";"200.74.241.98";"24-09-2017";
"283";"AgentTesla";"http://pechodin.com/webpanel/WebPanel/login.php";"178.159.36.185";"24-09-2017";
"284";"AgentTesla";"http://antespan.com/cgi/pub/admin.php";"217.146.91.100";"24-09-2017";
"285";"Lockibot";"http://www.campotimbues.com.ar/www/Panel/five/fre.php";"69.61.116.26";"24-09-2017";
"286";"Pony";"https://www.morrisonrich.com/d12/panel/admin.php";"108.61.60.106";"24-09-2017";
"287";"DiamondFox";"http://www.zaazaa.org/DiamondZ77/Panel/";"185.148.144.195";"24-09-2017";
